,tokenids,sentences,targets
0,31265,"""`` I 'll imagine that I like them , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
1,17783,"""`` but I promised Matthew I 'd be home early . The fact is , Mrs. Spencer , there 's been a queer mistake somewhere , and I 've come over to see where it is . We send word , Matthew and I , for you to bring us a boy from the asylum . We told your brother Robert to tell you we wanted a boy ten or eleven years old . '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
2,20204,"""`` You 'll have to remember a little better if you stay here , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
3,54018,"""`` I 'll try to be a model pupil , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
4,82420,"""`` I 'm positively certain , Diana , that life can never be quite the same again as it was in those olden days , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
5,74046,"""`` Could n't I ? '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
6,22372,"""`` Oh ! '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
7,36627,"""`` I do _ not _ like patchwork , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
8,91945,"""`` Do n't give up all your romance , Anne , '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
9,36324,"""`` Diana says that everybody must take a basket of things to eat . I ca n't cook , as you know , Marilla , and -- and -- I do n't mind going to a picnic without puffed sleeves so much , but I 'd feel terribly humiliated if I had to go without a basket . It 's been preying on my mind ever since Diana told me . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
10,21876,"""`` I suppose I might as well tell you . Matthew and I have decided to keep you -- that is , if you will try to be a good little girl and show yourself grateful . Why , child , whatever is the matter ? '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
11,110669,"""`` I _ do n't _ know -- exactly , '' "", ","71,Jane,21,Jane Andrews,
"
12,29049,"""`` How would wild horses drag a secret from a person anyhow ? '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
13,82936,"""`` A Winter 's Walk in the Woods , '' "", ","63,Miss Stacy,1,Stacy,
"
14,93627,"""`` Indeed I did n't , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
15,44210,"""`` Those Pye girls are cheats all round , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
16,44024,"""`` and he 's used to being head of his class , I can tell you . He 's only in the fourth book although he 's nearly fourteen . Four years ago his father was sick and had to go out to Alberta for his health and Gilbert went with him . They were there three years and Gil did n't go to school hardly any until they came back . You wo n't find it so easy to keep head after this , Anne . '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
17,46421,"""`` To Priscilla '' "", ","45,Mr. Phillips,
"
18,20849,"""`` Now I lay me down to sleep . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
19,27157,"""`` get off that bed this minute and listen to what I have to say to you . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
20,63434,"""`` Well , she 's in the room , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
21,12221,"""`` I 'm not suffering for company , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
22,29161,"""`` Very well . '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
23,74070,"""`` I dare you to climb up there and walk the ridgepole of Mr. Barry 's kitchen roof . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
24,97924,"""`` Oh , Marilla , thank you . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
25,60750,"""`` I think you ought to let Anne go , Marilla . '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
26,90875,"""`` look here . Ca n't we be good friends ? I 'm awfully sorry I made fun of your hair that time . I did n't mean to vex you and I only meant it for a joke . Besides , it 's so long ago . I think your hair is awfully pretty now -- honest I do . Let 's be friends . '' "", ","62,Gilbert,51,Gilbert Blythe,2,Blythe,
"
27,38474,"""`` If you put that brooch back it 's there still . If it is n't I 'll know you did n't , that 's all ! '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
28,121519,"""`` He heard that I was going to sell Green Gables and he wants to buy it . '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
29,532,"""`` ran '' "", ","130,Mrs. Lynde,58,Mrs. Rachel,17,Rachel,12,Mrs. Rachel Lynde,5,Rachel Lynde,3,Lynde,1,MRS. Rachel Lynde,
"
30,56905,"""`` Oh , Anne , do come quick , '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
31,43934,"""`` No , it is n't , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
32,74624,"""`` What 's the matter ? Where have you hurt yourself ? '' "", ","47,Mrs. Barry,
"
33,113238,"""`` I feel as if I 'd lived many moons since the morning . I ought to be home studying my Virgil -- that horrid old professor gave us twenty lines to start in on tomorrow . But I simply could n't settle down to study tonight . Anne , methinks I see the traces of tears . If you 've been crying _ do _ own up . It will restore my self-respect , for I was shedding tears freely before Ruby came along . I do n't mind being a goose so much if somebody else is goosey , too . Cake ? You 'll give me a teeny piece , wo n't you ? Thank you . It has the real Avonlea flavor . '' "", ","71,Jane,21,Jane Andrews,
"
34,106526,"""`` Oh , Matthew , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
35,92801,"""`` If I did and then was disappointed , it would be more than I could bear . But in case I do go I 'm very glad my new coat will be ready by that time . Marilla did n't think I needed a new coat . She said my old one would do very well for another winter and that I ought to be satisfied with having a new dress . The dress is very pretty , Diana -- navy blue and made so fashionably . Marilla always makes my dresses fashionably now , because she says she does n't intend to have Matthew going to Mrs. Lynde to make them . I 'm so glad . It is ever so much easier to be good if your clothes are fashionable . At least , it is easier for me . I suppose it does n't make such a difference to naturally good people . But Matthew said I must have a new coat , so Marilla bought a lovely piece of blue broadcloth , and it 's being made by a real dressmaker over at Carmody . It 's to be done Saturday night , and I 'm trying not to imagine myself walking up the church aisle on Sunday in my new suit and cap , because I 'm afraid it is n't right to imagine such things . But it just slips into my mind in spite of me . My cap is so pretty . Matthew bought it for me the day we were over at Carmody . It is one of those little blue velvet ones that are all the rage , with gold cord and tassels . Your new hat is elegant , Diana , and so becoming . When I saw you come into church last Sunday my heart swelled with pride to think you were my dearest friend . Do you suppose it 's wrong for us to think so much about our clothes ? Marilla says it is very sinful . But it is such an interesting subject , is n't it ? '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
36,63023,"""`` Something just flashes into your mind , so exciting , and you must out with it . If you stop to think it over you spoil it all . Have n't you never felt that yourself , Mrs. Lynde ? '' "", ","130,Mrs. Lynde,58,Mrs. Rachel,17,Rachel,12,Mrs. Rachel Lynde,5,Rachel Lynde,3,Lynde,1,MRS. Rachel Lynde,
"
37,34345,"""`` Diana , you might take Anne out into the garden and show her your flowers . It will be better for you than straining your eyes over that book . She reads entirely too much -- '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
38,79198,"""`` Well now , since you suggest it , I might as well -- take -- that is -- look at -- buy some -- some hayseed . '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
39,23405,"""`` Well , learn it and hold your tongue , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
40,91091,"""`` I shall never be friends with you , Gilbert Blythe ; and I do n't want to be ! '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
41,8892,"""`` We 're pretty near home now . That 's Green Gables over -- '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
42,74828,"""`` Mr. Barry , what has happened to her ? '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
43,19322,"""`` I 'd rather go back to the asylum than go to live with her , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
44,101404,"""`` Yes , I believe she could , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
45,74014,"""`` I do n't believe it , '' "", ","40,Josie Pye,33,Josie,3,Pye,
"
46,1329,"""`` It 's just _ staying _ , that 's what , '' "", ","130,Mrs. Lynde,58,Mrs. Rachel,17,Rachel,12,Mrs. Rachel Lynde,5,Rachel Lynde,3,Lynde,1,MRS. Rachel Lynde,
"
47,84459,"""`` How perfectly lovely ! '' "", ","403,Diana,11,Diana Barry,10,Barry,
"
48,18084,"""`` but I do n't think it will be necessary to send her back . Mrs. Peter Blewett was up here yesterday , and she was saying to me how much she wished she 'd sent by me for a little girl to help her . Mrs. Peter has a large family , you know , and she finds it hard to get help . Anne will be the very girl for you . I call it positively providential . '' "", ","34,Mrs. Spencer,4,Mrs. Alexander Spencer,2,Spencer,
"
49,53905,"""`` I 'm going back to school , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
50,90042,"""`` I was horribly frightened , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
51,86914,"""`` Yes , I knew it was a little wicked , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
52,58788,"""`` Yes , yes , run along , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
53,58367,"""`` Well , he never got to be Premier on account of his looks , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
54,13358,"""`` I 'm pretty hungry this morning , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
55,57006,"""`` He 's gone to harness the sorrel mare to go to Carmody for the doctor , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
56,70752,"""`` what on earth did you put into that cake ? '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
57,1989,"""`` We 're all pretty well , '' "", ","130,Mrs. Lynde,58,Mrs. Rachel,17,Rachel,12,Mrs. Rachel Lynde,5,Rachel Lynde,3,Lynde,1,MRS. Rachel Lynde,
"
58,30432,"""`` That would n't be so hard if people would n't twit me about my looks , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
59,62597,"""`` So you and Diana nearly frightened poor old Miss Barry to death last night ? '' "", ","130,Mrs. Lynde,58,Mrs. Rachel,17,Rachel,12,Mrs. Rachel Lynde,5,Rachel Lynde,3,Lynde,1,MRS. Rachel Lynde,
"
60,59369,"""`` I 'm always going to talk to little girls as if they were too , and I 'll never laugh when they use big words . I know from sorrowful experience how that hurts one 's feelings . After tea Diana and I made taffy . The taffy was n't very good , I suppose because neither Diana nor I had ever made any before . Diana left me to stir it while she buttered the plates and I forgot and let it burn ; and then when we set it out on the platform to cool the cat walked over one plate and that had to be thrown away . But the making of it was splendid fun . Then when I came home Mrs. Barry asked me to come over as often as I could and Diana stood at the window and threw kisses to me all the way down to Lover 's Lane . I assure you , Marilla , that I feel like praying tonight and I 'm going to think out a special brand-new prayer in honor of the occasion . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
61,72524,"""`` You are right , Marilla . I 'll try not to think about myself at all . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
62,52567,"""`` Oh , Mrs. Barry , please forgive me . I did not mean to -- to -- intoxicate Diana . How could I ? Just imagine if you were a poor little orphan girl that kind people had adopted and you had just one bosom friend in all the world . Do you think you would intoxicate her on purpose ? I thought it was only raspberry cordial . I was firmly convinced it was raspberry cordial . Oh , please do n't say that you wo n't let Diana play with me any more . If you do you will cover my life with a dark cloud of woe . '' "", ","130,Mrs. Lynde,58,Mrs. Rachel,17,Rachel,12,Mrs. Rachel Lynde,5,Rachel Lynde,3,Lynde,1,MRS. Rachel Lynde,
"
63,22350,"""`` Do you never imagine things different from what they really are ? '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
64,100843,"""`` good '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
65,75435,"""`` It will help me through splendidly , I expect . What do people who have n't any imagination do when they break their bones , do you suppose , Marilla ? '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
66,6815,"""`` Fancy . It 's always been one of my dreams to live near a brook . I never expected I would , though . Dreams do n't often come true , do they ? Would n't it be nice if they did ? But just now I feel pretty nearly perfectly happy . I ca n't feel exactly perfectly happy because -- well , what color would you call this ? '' "", ","34,Mrs. Spencer,4,Mrs. Alexander Spencer,2,Spencer,
"
67,62911,"""`` I 'm such an unlucky girl , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
68,10598,"""`` why did n't you tell me at the station that you did n't want me and leave me there ? If I had n't seen the White Way of Delight and the Lake of Shining Waters it would n't be so hard . '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
69,10760,"""`` No . We want a boy to help Matthew on the farm . A girl would be of no use to us . Take off your hat . I 'll lay it and your bag on the hall table . '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
70,31486,"""`` Oh , I _ am _ grateful , '' "", ","1142,Anne,44,Anne Shirley,1,Shirley,1,ANNE,
"
71,2292,"""`` What on earth put such a notion into your head ? '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
72,6934,"""`` It 's red , ai n't it ? '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
73,118292,"""`` Oh , Marilla , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
74,4713,"""`` I 'm very glad to see you . I was beginning to be afraid you were n't coming for me and I was imagining all the things that might have happened to prevent you . I had made up my mind that if you did n't come for me to-night I 'd go down the track to that big wild cherry-tree at the bend , and climb up into it to stay all night . I would n't be a bit afraid , and it would be lovely to sleep in a wild cherry-tree all white with bloom in the moonshine , do n't you think ? You could imagine you were dwelling in marble halls , could n't you ? And I was quite sure you would come for me in the morning , if you did n't to-night . '' "", ","334,Matthew,23,Matthew Cuthbert,1,MATTHEW,1,Cuthbert,1,MATTHEW Cuthbert,
"
75,24417,"""`` Yesterday you wanted to be a sea gull , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
76,24232,"""`` I think it 's just as well there was n't , '' "", ","822,Marilla,14,Marilla Cuthbert,12,Miss Cuthbert,4,Cuthbert,2,MARILLA,2,Miss Marilla Cuthbert,
"
